-1.25  0.0644495 0.133609 0.0796875 0.0738235 0.0822369 0.104339 0.0749843 0.0670225 0.202234 0.0919601 0.0589127 0.0555543 0.117898 0.211269 0.0752194 0.11133 0.0816797 0.0329713 -0.012546 0.0257698 0.0787578 0.0934184 0.080353 0.083932 0.0691323 0.0826061 0.121751 0.0839035 0.179204 -0.00313406 0.0856441 0.102389 0.0845219 0.226905 0.121437 0.0832099 0.0389094 0.0315726 0.0854718 0.230663 0.130581 0.099647 0.0847692 0.0023401 0.0814211 -0.0129189 0.147967 0.153102 0.0741699 0.103985 0.0666461 0.140428 0.151191 0.0752542 0.104266 0.0829832 0.17074 0.177124 0.293443 0.0772325 0.167307 0.168578 0.0836321 0.150404 -0.00656066 0.0711441 0.0923591 0.0357076 0.122177 0.069482 0.0164296 -0.00988416 0.0612244 0.113145 0.12422 0.0532615 0.00326461 0.0694252 0.225839 0.0691148 0.357371 0.0467094 0.0698053 0.153452 0.113619 0.16826 0.0851497 0.0452934 0.119886 0.128392 0.0364599 0.0253514 0.217811 0.027676 0.152379 0.0530873 0.019127 0.134254 0.209203 0.0635686
-0.75  0.0631486 0.112203 0.0995603 0.129047 0.0700729 0.0934547 0.0859972 0.0597157 0.116076 0.0980885 0.0641977 0.0686871 0.105811 0.0288769 0.0846423 0.0956382 0.0822806 0.074663 0.0658298 0.0762009 0.0730562 0.0839581 0.0811421 0.089845 0.0870691 0.0884053 0.125178 0.0924411 0.161981 0.122885 0.0964742 0.0917209 0.0723215 0.209976 0.109986 0.0861518 -0.0480027 0.066712 0.0968225 0.150577 0.113633 0.0895177 0.0948423 -0.123998 0.092059 0.0975828 0.101084 0.135362 0.086116 0.0890444 0.0573194 0.105943 0.122312 0.0884217 0.152674 0.0935146 0.163112 0.126786 0.216523 0.0901228 0.122624 0.130822 0.134957 0.129159 0.0697916 0.0835381 0.0784188 0.0267831 0.10661 0.0838486 0.0131614 0.0472962 0.0604946 0.105449 -0.0234769 0.0314416 -0.027712 0.0788143 0.153397 0.0602789 0.136349 0.0914126 0.0613422 0.0641895 0.0843797 0.0678097 0.0934491 0.0570105 0.104637 0.113953 0.0478207 0.0345269 0.163046 0.0837724 0.119882 0.0618352 0.0714514 0.110721 0.182788 0.0594333
-1.25  0.0219765 0.161037 -0.0460809 -0.0466992 0.0704887 0.102093 0.0700371 0.0586605 0.235919 0.100418 0.0468232 0.0384903 0.120709 0.159575 0.0680859 0.10562 0.0835733 0.0182646 -0.0356764 0.0204456 0.0709176 0.0881424 0.0823536 0.0928238 0.0765068 0.0909037 0.159717 0.0967759 0.102306 -0.252495 0.0998273 0.0993151 0.073244 0.282592 0.127187 0.0875273 -0.0924555 0.0480212 0.101397 0.328372 0.132734 0.095783 0.0955752 -0.203845 0.0883221 0.0892183 0.15381 0.204701 0.0683049 0.0947751 0.0550109 0.154365 0.208661 0.0793531 0.307181 0.0925079 0.203357 0.16982 0.34868 0.0844114 0.184364 0.180302 -0.0102463 0.176939 0.329749 0.0674672 0.0809145 0.0146709 0.122253 0.0619108 -0.00675001 -0.0147488 0.0317568 0.410046 -0.316046 6.40377e-05 -0.0303374 0.0513191 0.236817 0.0588248 0.0692652 0.0224808 0.0596689 -0.0396917 0.22569 0.276216 0.0906947 0.0404701 0.118975 0.145281 0.0147676 0.0107749 0.202438 -0.0076245 0.142959 0.022413 0.0399679 0.141354 0.16212 0.0599622
-1.0  0.146233 0.0540192 0.128363 0.16009 0.0473131 0.0613612 0.119892 0.0503139 -0.00258104 0.098258 0.136998 0.135517 0.0604984 0.031645 0.120558 0.0588558 0.0852267 0.130214 0.137269 0.191135 0.0795996 0.0577044 0.0854901 0.0912408 0.118704 0.0879199 -0.117751 0.0980569 0.0123863 0.20536 0.107178 0.0606272 0.0486939 0.0437706 0.0635472 0.0833488 0.224889 0.128981 0.10655 -0.0449215 0.0588772 0.0598823 0.108716 0.160411 0.112461 0.143822 0.0720827 0.029891 0.11793 0.0567191 0.0499474 0.0585819 0.021448 0.116451 0.0818831 0.110551 -0.00411287 0.0753762 0.27336 0.114521 0.038585 0.0180731 0.0920141 0.0414183 0.0591356 0.121372 0.0506888 0.158137 0.0589138 0.124091 0.171555 0.162347 0.161689 0.236237 0.15205 0.155251 0.194015 0.126105 0.0488277 0.0618452 -0.00581131 0.13486 0.0647651 0.0311504 0.0947498 0.0611449 0.110575 0.148965 0.0626651 0.0637783 0.152394 0.158916 0.0655871 0.162825 0.0584582 0.13903 0.142499 0.0577238 0.0273264 0.0617759
-1.0  0.0381628 0.161197 -0.0304429 -0.0292736 0.0824617 0.109909 0.0609932 0.0648088 0.264357 0.0974442 0.0108895 0.0185237 0.129828 -0.0145194 0.0620586 0.118415 0.0818856 0.0237733 -0.0519539 0.0440635 0.0731217 0.0957978 0.0801108 0.0884432 0.0593833 0.087575 0.0973903 0.0886953 0.219946 -0.0927239 0.0894216 0.106948 0.08518 0.297855 0.131795 0.0870537 -0.182998 0.0284575 0.0902562 0.273572 0.145374 0.103621 0.0859987 -0.272859 0.0784206 0.0449438 0.190235 0.13675 0.0591038 0.108473 0.0640012 0.175541 0.137029 0.0675719 0.254857 0.0824025 0.233363 0.160734 0.53475 0.0721567 0.201929 0.198714 -0.0340175 0.165026 0.247326 0.0579042 0.0944568 -0.0266569 0.13358 0.0459165 0.0287993 -0.0174668 -0.0434413 0.375796 -0.230012 0.0114391 -0.0133329 0.0442933 0.262801 0.0664026 0.232486 0.0302347 0.0664339 0.000169523 0.230122 0.240595 0.0835729 -0.000819936 0.129909 0.148998 0.031513 -0.0769294 0.228672 -0.0406547 0.150996 0.00907733 0.0526143 0.146786 0.263589 0.060838
-0.75  0.0542217 0.129728 0.0800479 0.0635346 0.0797739 0.104841 0.0693878 0.0693203 0.16944 0.0815683 0.0113072 0.0558972 0.119652 0.00925799 0.070146 0.107573 0.0732669 0.0520545 0.0367621 0.0722118 0.0717407 0.0944198 0.0726756 0.0751456 0.072861 0.0728698 0.227272 0.077147 0.233588 0.0261314 0.0816465 0.102909 0.0821466 0.14603 0.120678 0.0725311 -0.0281668 0.0522052 0.0815681 0.0544275 0.133379 0.100486 0.0806978 0.0585751 0.078292 0.0576417 0.171507 0.15751 0.0697094 0.0999925 0.0659841 0.12541 0.159067 0.0744594 0.123116 0.0796601 0.218956 0.141848 0.430898 0.0763999 0.103949 0.176616 0.0146577 0.126871 0.249797 0.069781 0.0885743 -0.0198815 0.116809 0.0666072 0.0683391 0.0176493 0.0380433 0.133546 0.193392 0.0662811 0.0578676 0.0613248 0.183868 0.0667071 0.084244 0.0706637 0.0675078 -0.067097 0.161252 0.127237 0.0796183 0.0367199 0.115097 0.130951 0.0335381 0.00742663 0.168603 0.064534 0.19345 0.0733816 0.00187533 0.127593 0.209376 0.0687211
-0.75  0.0700564 0.148974 0.0593127 0.00438902 0.0865877 0.109944 0.065575 0.0697149 0.253374 0.0895718 0.00694337 0.0553204 0.127247 -0.121479 0.0662109 0.116264 0.0784357 0.0253171 0.0571166 0.0102538 0.0758673 0.0985445 0.0770904 0.0812519 0.0637967 0.0807324 0.443181 0.0795862 0.256215 -0.195872 0.0806958 0.107792 0.0889881 0.257064 0.128769 0.0825913 -0.00421265 0.0500437 0.0805366 0.20619 0.139948 0.105283 0.0793895 -0.0101056 0.0751583 -0.0719051 0.162206 0.145118 0.064132 0.10873 0.0691366 0.138159 0.172662 0.0686457 0.151038 0.0772071 0.259162 0.157331 -0.028305 0.0708121 0.180596 0.19358 0.0251753 0.159009 0.248409 0.0639886 0.0969292 -0.0530451 0.128981 0.0594877 0.0284285 0.0678515 0.0581761 0.000216044 0.218262 0.0618159 0.0588601 0.058679 0.110915 0.0691819 0.31488 0.0250181 0.0688804 0.133221 0.140844 0.175318 0.0790717 0.0353197 0.124713 0.137667 0.0490174 -0.00977428 0.151581 0.0346848 0.178771 0.0505928 0.0216001 0.137519 0.184306 0.0631064
-1.0  0.00159727 0.148473 0.0189037 -0.0301832 0.0883708 0.114706 0.0540955 0.0710951 0.214587 0.0828031 0.00569493 0.0189892 0.132702 -0.0523887 0.0577991 0.12417 0.0771148 0.0235206 0.0074899 0.0432298 0.0799595 0.101241 0.0766537 0.0755798 0.0518122 0.0736702 0.363048 0.0760086 0.114181 -0.289436 0.0770542 0.11216 0.0910478 0.164284 0.136542 0.0745773 -0.0950861 -0.00162164 0.0771365 0.285485 0.153817 0.108802 0.0754145 -0.0973419 0.069692 -0.132222 0.181447 0.220924 0.0525782 0.114317 0.0703233 0.165598 0.0786681 0.0597911 0.328042 0.0726612 0.229654 0.173717 0.579148 0.0638478 0.201298 0.152263 0.0385807 0.149768 0.143182 0.0541696 0.100462 0.00793386 0.136889 0.0470983 0.00190482 -0.0250357 -0.0244992 0.389075 -0.0689017 0.0103347 0.041596 0.0383832 0.172328 0.0734956 0.16186 0.0278209 0.0740144 0.0425178 0.194484 0.182236 0.0745081 -0.00547133 0.134125 0.155838 0.0246491 -0.0646493 0.190283 0.0318186 0.2227 0.00936932 0.0209655 0.148093 0.206288 0.0681833
-1.25  0.0525885 0.156223 -0.0520326 -0.0103261 0.0730503 0.100021 0.0707273 0.0606205 0.258826 0.0951365 0.0340815 0.0466969 0.116568 -0.0407618 0.0711348 0.104315 0.0802511 0.0361602 0.0243961 0.0796209 0.0716438 0.0878431 0.0790647 0.0870389 0.0740722 0.0855803 0.3486 0.0886939 0.151883 -0.221971 0.0921394 0.0975415 0.0755483 0.166991 0.120636 0.084327 -0.125271 0.076048 0.0927106 0.152072 0.126213 0.0947784 0.0897464 -0.106947 0.0847257 -0.0240536 0.163888 0.200932 0.0711992 0.0954361 0.0584509 0.141663 0.181579 0.077709 0.190309 0.0875254 0.268942 0.144581 0.182343 0.0811378 0.173026 0.162242 -0.0019438 0.141706 0.340275 0.0685284 0.0828669 -0.0258092 0.118178 0.0650185 0.0407552 0.0349695 0.0724714 0.29836 0.0528238 0.0265579 0.0507253 0.0582769 0.108987 0.0614778 0.168481 0.0428187 0.061692 -0.0109948 0.149538 0.172109 0.0873303 0.0255201 0.114033 0.136683 0.0423172 0.0242777 0.153603 -0.00742344 0.136647 0.0363963 0.0257484 0.134512 0.159632 0.0595534
-1.5  0.105648 0.0739255 0.138776 0.120801 0.047164 0.0718142 0.109462 0.0566845 0.093354 0.0912712 0.128678 0.120251 0.0730746 0.278479 0.104818 0.0612653 0.0823832 0.11189 0.145913 0.0882764 0.0732451 0.0671683 0.0827973 0.0895111 0.125466 0.0839957 -0.0326147 0.10144 0.126195 0.157533 0.109509 0.0716552 0.0490085 0.195536 0.0851947 0.0762377 0.165569 0.10427 0.111164 0.140649 0.0724171 0.0702182 0.107342 0.21841 0.109167 0.180935 0.0812742 0.0429896 0.109805 0.0572579 0.0496068 0.0672492 0.167493 0.115296 -0.00313683 0.108848 0.143906 0.0802767 0.347278 0.114495 0.122387 0.041226 0.168889 0.0830247 0.0159021 0.109588 0.049374 0.197891 0.0690784 0.114306 0.135395 0.148249 0.137808 -0.0491057 -0.00594287 0.11562 0.0946977 0.112006 -0.043681 0.0585871 0.216168 0.125461 0.0625762 0.219948 0.111321 0.09096 0.103142 0.125635 0.0687829 0.0835547 0.127316 0.0829773 0.131183 0.201025 0.0716818 0.153982 0.103298 0.0672055 0.111426 0.0737506
